what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1339774512850
java.version,sysinfo,,,"1.6.0_24",1339774512850
java.vm.info,sysinfo,,,"mixed mode, sharing",1339774512850
java.vm.name,sysinfo,,,"OpenJDK Client VM",1339774512850
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339774512850
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339774512850
java.vm.specification.version,sysinfo,,,"1.0",1339774512850
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1339774512850
java.vm.version,sysinfo,,,"20.0-b12",1339774512850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339774517458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339775062140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339775063882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339805598556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339805603676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339805736636
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1339805738933
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1339805738979
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1339805739002
started,bundle,org.eclipse.linuxtools.tmf.core,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.core",1339805739307
started,bundle,org.eclipse.linuxtools.tmf.ui,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.ui",1339805739311
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1339805749633
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339805749676
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339805750091
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339805750157
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1339805750389
started,bundle,org.eclipse.linuxtools.cdt.libhover,1.1.0.201202152032,"org.eclipse.linuxtools.cdt.libhover",1339805750793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339805755158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339805899317
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1339805902257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339805919526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339805987955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339805995474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806069709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806073419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806098536
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1339806112209
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1339806112241
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1339806112663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806112826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806235388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806241901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806272357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806310833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806323410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806327910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339806333196
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339806336107
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339806336177
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339806336213
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339806337367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339806337835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339806339433
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339806344637
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339806344638
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339806345835
